"","","Amy_is_in_Vegas","bicycleflossing","bonusbgc","ChubbyhappyBuddha","DeciduousTreant","double intervention","flower_seven","Hmkyna","john_thompson56","karmachameleon733","Kawaii_Potato11","malutka79","MillieJacob","Nocerefacileest","Nokuto","OatsFanatic","OatsFanatic(thomas_johnson19)","OneCat0","Patrycja","PipperPapper","rytovkyll","shakadee","solaphir","someone","thomas_johnson19","Tylerdrew19"
"2020-07-09",0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2020-07-10",0,0,0,0,0,0,0,0,0,4,30,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0
"2020-07-11",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"2020-07-12",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
"2020-07-13",0,0,0,0,3,0,0,0,0,0,4,0,1,0,0,30,0,0,0,0,0,0,0,0,0,3,0
"2020-07-14",0,0,0,0,22,0,0,0,0,0,1,0,5,0,0,11,0,0,0,0,0,0,1,0,0,5,0
"2020-07-15",0,0,0,0,19,0,1,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,13,0
"2020-07-16",0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"2020-07-17",0,0,0,0,5,3,0,0,0,10,0,0,0,36,0,0,0,0,5,0,0,0,0,0,0,0,0
"2020-07-18",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-07-19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"2020-07-20",0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-07-21",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"2020-07-22",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-07-23",0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"2020-07-24",0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"2020-07-25",0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
"2020-07-26",0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0
"2020-07-27",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
"2020-07-28",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,14,0,2,0,0,0
"2020-07-29",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0,25,0,0,0,0,0
"2020-07-30",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,4,0,0,0,0,13,0,0,0,0,0
"2020-07-31",0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,38,7,0,0,0,0,29,0,0,0,0,0
"2020-08-01",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
"2020-08-02",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-08-03",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0
"2020-08-04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0
"2020-08-05",0,0,0,0,0,0,0,5,0,1,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"2020-08-08",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"2020-08-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0
"2020-08-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,1,0,0,0,1
"2020-08-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0
"2020-08-13",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,23
"2020-08-14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,2,0,0,0,17
"2020-08-15",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,7
"2020-08-16",0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,2
"2020-08-17",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
"2020-08-18",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,26,0,4,0,0,0,0,0,0,0,0,3
"2020-08-19",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
"2020-08-20",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,7
"2020-08-21",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12
"2020-08-22",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-08-23",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020-08-24",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12
"2020-08-25",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,15,0,0,0,0,45,0,0,0,0,0,0
"2020-08-26",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,17,0,3,0,0,19,0,0,0,0,0,12
"2020-08-27",0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,5
"2020-08-28",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,0,5
"2020-08-29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0
"2020-08-30",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,5,0,1,0,0,14,0,0,0,0,0,0
"2020-08-31",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,12,0,0,0,0,28,0,0,0,0,0,0
"2020-09-01",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,8
"2020-09-02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"2020-09-03",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
"2020-09-04",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,0,4,0,0,0,10,0,0,0,0,0
"2020-09-05",0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,17,0,0,0,0,0,6,0,0,1,0,0
"2020-09-06",0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,15,0,1,0,0,0,13,0,0,0,0,0
"2020-09-07",0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,13,0,3,0,0,0,5,0,0,0,0,0
"2020-09-08",0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,2,0,0,0,27,0,0,0,0,0
"2020-09-09",1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,11,0,2,0,0,0,5,0,0,0,0,0
